Section / القسم,Field (EN),الحقل (AR),Prev Year,Current,Target,Unit,Notes,Applicability,Input Type,Options
Environment / البيئة,Scope 1 Emissions (tCO₂e),انبعاثات النطاق 1 (طن مكافئ CO₂),,,tCO₂e | طن مكافئ CO₂,,The company shall report Scope 1 emissions in tCO₂e (English/Arabic tooltips: Scope 1 = Direct emissions) [Metrics & Targets],All,Number,
Environment / البيئة,Scope 2 Emissions (tCO₂e),انبعاثات النطاق 2 (طن مكافئ CO₂),,,tCO₂e | طن مكافئ CO₂,,The company shall report Scope 2 emissions in tCO₂e (English/Arabic tooltips: Scope 2 = Purchased energy) [Metrics & Targets],All,Number,
Environment / البيئة,Scope 3 Emissions (tCO₂e),انبعاثات النطاق 3 (طن مكافئ CO₂),,,tCO₂e | طن مكافئ CO₂,,The company shall report Scope 3 emissions in tCO₂e (Optional) (English/Arabic tooltips: Scope 3 = Other indirect) [Metrics & Targets],All,Number,
Environment / البيئة,Renewable Energy Share (%),نسبة الطاقة المتجددة (%),,,% | ٪,,The company shall report renewable energy share (English/Arabic tooltips: % of renewable energy) [Metrics & Targets],All,Number,
Environment / البيئة,Energy Intensity,شدة الطاقة,[Auto],kWh/unit output | كيلوواط ساعة/وحدة الإنتاج,,,,Energy consumption normalized by unit of output (Auto: Total Energy / Output) - ADX comparability [Metrics & Targets],All,Auto,
Environment / البيئة,Water Intensity,شدة المياه,[Auto],m³/unit output | م³/وحدة الإنتاج,,,,Water consumption normalized by unit of output (Auto: Total Water / Output) [Metrics & Targets],All,Auto,
Environment / البيئة,Energy Consumption (kWh),استهلاك الطاقة (كيلوواط ساعة),,,kWh | كيلوواط ساعة,,The company shall report energy consumption (convert GJ to kWh: 1 GJ = 277.78 kWh in export) [Metrics & Targets],All,Number,
Environment / البيئة,Water Consumption (m³),استهلاك المياه (م³),,,m³ | م³,,The company shall report water consumption (English/Arabic tooltips: Water used in operations) [Metrics & Targets],All,Number,
Environment / البيئة,Water Reclaimed (m³),المياه المستعادة (م³),,,m³ | م³,,The company shall report water reclaimed (English/Arabic tooltips: Recycled water volume) [Metrics & Targets],All,Number,
Environment / البيئة,Waste Generated (tonnes),النفايات المولدة (طن),,,tonnes | طن,,The company shall report waste generated (English/Arabic tooltips: Total waste produced) [Metrics & Targets],All,Number,
Environment / البيئة,Waste Recycling Rate (%),معدل إعادة تدوير النفايات (%),,,% | ٪,,The company shall report waste recycling rate (English/Arabic tooltips: % recycled waste) [Metrics & Targets],All,Number,
Environment / البيئة,Water Discharge Volumes (m³),حجم إطلاق المياه (م³),,,m³ | م³,,The company shall disclose total volume of water discharge (English/Arabic tooltips: Discharged water) [Metrics & Targets],All,Number,
Environment / البيئة,Climate-related Investment (AED),الاستثمار المتعلق بالمناخ (درهم),,,AED | درهم,,Annual spend on decarbonisation/resilience/R&D (IFRS S2 metrics & targets) [Metrics & Targets],All,Number,
Environment / البيئة,Scope 3 Categories Covered,فئات النطاق 3 المشمولة,,,Text,,List included Scope 3 categories (e.g., Purchased goods, Upstream transport) (IFRS S2 comparability) [Metrics & Targets],Advanced,Text,
